megadbid,reg_id,year,plot_use,matchto,origplotno,area,wilderns,roundno,year,sampleno,labbatch,scicode,fieldrep,labrep,colldate,hg_ppb,lab,,
3217,6,2009,CRG06,CRG06,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009093,P084 09-10,Evepru,1,1,7/1/2009,63.89301624,UMN_RAL,,
3217,6,2009,CRG06,CRG06,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009093,P084 09-10,Evepru,1,2,7/1/2009,64.37794845,UMN_RAL,,
106859,6,2013,CRG531,CRG531,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013162,P045 13-14,Plagla,1,1,6/12/2013,67.31,UMN_RAL,,
106828,6,2013,CRG57,CRG57,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013159,P045 13-14,Plagla,1,1,6/10/2013,69.94,UMN_RAL,,
3976,6,2006,PepMtC,PepMt,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006587,P071 05-06,Plagla,1,1,5/4/2006,71.8,UMN_RAL,,
107294,6,2013,CRG38,CRG38,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013117,P045 13-14,Plagla,1,1,6/12/2013,72.89,UMN_RAL,,
106842,6,2013,ARM106,ARM106,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013156,P045 13-14,Plagla,1,2,6/19/2013,74.11,UMN_RAL,,
106842,6,2013,ARM106,ARM106,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013156,P045 13-14,Plagla,1,1,6/19/2013,75.27,UMN_RAL,,
106824,6,2013,CRG09,CRG09,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013019,P045 13-14,Plagla,1,1,6/18/2013,79.04,UMN_RAL,,
106860,6,2013,CRG538,CRG538,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013066,P045 13-14,Plagla,1,1,6/25/2013,86.69,UMN_RAL,,
3975,6,2006,PepMtB,PepMt,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006569,P071 05-06,Plagla,1,3,9/21/2006,86.7,UMN_RAL,,
106821,6,2013,CRG536,CRG536,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013154,P045 13-14,Plagla,1,1,6/17/2013,87.31,UMN_RAL,,
3504,6,2008,HermanCkG,HermanCk,,Columbia River Gorge NSA,,2000-2009,2008,R6_2008110,P004 08-09,Plagla,2,2,9/27/2008,89.91,UMN_RAL,,
3504,6,2008,HermanCkG,HermanCk,,Columbia River Gorge NSA,,2000-2009,2008,R6_2008110,P004 08-09,Plagla,2,1,9/27/2008,89.95,UMN_RAL,,
2809,6,2008,7MHPipoG,7MHPipo,,Columbia River Gorge NSA,,2000-2009,2008,R6_2008113,P004 08-09,Plagla,1,1,9/27/2008,91.25,UMN_RAL,,
3498,6,2005,HermanCkA,HermanCk,,Columbia River Gorge NSA,,2000-2009,2005,R6_2005015,P071 05-06,Plagla,1,1,10/4/2005,91.5,UMN_RAL,,
3410,6,2009,CRG82,CRG82,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009123,P084 09-10,Plagla,1,1,7/7/2009,93.32169658,UMN_RAL,,
106850,6,2013,CRG30,CRG30,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013158,P045 13-14,Plagla,1,1,6/10/2013,93.45,UMN_RAL,,
106835,6,2013,ARM162LG,ARM162,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013120,P045 13-14,Plagla,1,1,6/13/2013,95.72,UMN_RAL,,
106835,6,2013,ARM162LG,ARM162,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013120,P045 13-14,Plagla,1,2,6/13/2013,97.03,UMN_RAL,,
106825,6,2013,ARM113,CRG13,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013017,P045 13-14,Plagla,2,1,6/18/2013,97.83,UMN_RAL,,
106860,6,2013,CRG538,CRG538,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013066,P045 13-14,Plagla,1,2,6/25/2013,98.06,UMN_RAL,,
106834,6,2013,CRG526,CRG526,,Columbia River Gorge NSA,Mark O. Hatfield Wilderness,2010-2019,2013,R6_2013053,P045 13-14,Plagla,1,1,6/25/2013,99.05,UMN_RAL,,
2809,6,2008,7MHPipoG,7MHPipo,,Columbia River Gorge NSA,,2000-2009,2008,R6_2008112,P004 08-09,Plagla,2,1,9/27/2008,101.04,UMN_RAL,,
106854,6,2013,CRG68,CRG68,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013014,P045 13-14,Plagla,1,1,6/19/2013,102.3,UMN_RAL,,
3504,6,2008,HermanCkG,HermanCk,,Columbia River Gorge NSA,,2000-2009,2008,R6_2008111,P004 08-09,Plagla,1,1,9/27/2008,105.4,UMN_RAL,,
106849,6,2013,CRG28-N,CRG28,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013119,P045 13-14,Plagla,1,1,6/11/2013,109.11,UMN_RAL,,
3975,6,2006,PepMtB,PepMt,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006569,P071 05-06,Plagla,1,2,9/21/2006,110.2,UMN_RAL,,
106854,6,2013,CRG68,CRG68,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013014,P045 13-14,Plagla,1,2,6/19/2013,110.46,UMN_RAL,,
3976,6,2006,PepMtC,PepMt,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006587,P071 05-06,Plagla,1,2,5/4/2006,111.4,UMN_RAL,,
106855,6,2013,CRG73-N,CRG73,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013050,P045 13-14,Plagla,1,1,6/27/2013,111.72,UMN_RAL,,
4127,6,2006,TracyHillB,TracyHill,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006590,P071 05-06,Plagla,1,1,5/3/2006,113.8,UMN_RAL,,
106848,6,2013,CRG23-N,CRG23,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013153,P045 13-14,Plagla,1,1,6/12/2013,115.48,UMN_RAL,,
3670,6,2005,LoopRdA,LoopRd,,Columbia River Gorge NSA,,2000-2009,2005,R6_2005208,P071 05-06,Plagla,1,1,9/22/2005,115.8,UMN_RAL,,
106851,6,2013,CRG44,CRG44,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013103,P045 13-14,Plagla/Plawhe,1,2,6/6/2013,119.12,UMN_RAL,,
2805,6,2006,7MHPipoC,7MHPipo,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006600,P071 05-06,Plagla,1,1,9/29/2006,119.4,UMN_RAL,,
106855,6,2013,CRG73-N,CRG73,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013050,P045 13-14,Plagla,1,2,6/27/2013,119.84,UMN_RAL,,
106846,6,2013,CRG20,CRG20,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013051,P045 13-14,Plagla,1,1,6/28/2013,120.37,UMN_RAL,,
106851,6,2013,CRG44,CRG44,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013103,P045 13-14,Plagla/Plawhe,1,1,6/6/2013,122.22,UMN_RAL,,
3975,6,2006,PepMtB,PepMt,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006569,P071 05-06,Plagla,1,1,9/21/2006,124.8,UMN_RAL,,
106833,6,2013,CRG524,CRG524,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013058,P045 13-14,Plagla,1,1,6/26/2013,128.85,UMN_RAL,,
108213,6,2015,HermanCk,HermanCk,,Columbia River Gorge NSA,,2010-2019,2015,R6_2015195,P102&127 15-16,Plagla,1,1,10/3/2015,129.23,UMN_RAL,,
106913,6,2013,CRG60AH,CRG60,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013098,P045 13-14,Plawhe,1,1,6/4/2013,130.24,UMN_RAL,,
2811,6,2006,7MHPsmeB,7MHPsme,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006591,P071 05-06,Plagla,1,1,5/10/2006,130.5,UMN_RAL,,
3992,6,2006,PostCanC,PostCan,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006595,P071 05-06,Plagla,1,1,9/21/2006,130.5,UMN_RAL,,
106852,6,2013,CRG51,CRG51,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013108,P045 13-14,Plagla,1,2,6/5/2013,131.29,UMN_RAL,,
106841,6,2013,CRG47,CRG47,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013093,P045 13-14,Plagla,1,1,6/6/2013,142.2,UMN_RAL,,
106847,6,2013,CRG21-N,CRG21,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013069,P045 13-14,Plagla,1,1,6/28/2013,143.6,UMN_RAL,,
3991,6,2006,PostCanB,PostCan,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006558,P071 05-06,Plagla,1,2,5/11/2006,143.9,UMN_RAL,,
106841,6,2013,CRG47,CRG47,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013093,P045 13-14,Plagla,1,2,6/6/2013,148.53,UMN_RAL,,
106831,6,2013,CRG519,CRG519,,Columbia River Gorge NSA,Mark O. Hatfield Wilderness,2010-2019,2013,R6_2013061,P045 13-14,Plagla,1,1,6/24/2013,148.76,UMN_RAL,,
3991,6,2006,PostCanB,PostCan,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006558,P071 05-06,Plagla,1,1,5/11/2006,150.8,UMN_RAL,,
106858,6,2013,CRG521-N,CRG521,,Columbia River Gorge NSA,Mark O. Hatfield Wilderness,2010-2019,2013,R6_2013048,P045 13-14,Plagla,1,1,6/29/2013,151.72,UMN_RAL,,
3246,6,2009,CRG201,CRG201,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009079,P084 09-10,Plagla,1,1,7/2/2009,156.3345752,UMN_RAL,,
106857,6,2013,CRG515,CRG515,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013047,P045 13-14,Plagla,2,1,6/25/2013,162.27,UMN_RAL,,
3671,6,2006,LoopRdB,LoopRd,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006599,P071 05-06,Letvul,1,1,5/3/2006,164,UMN_RAL,,
106830,6,2013,CRG534-N,CRG534,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013001,P045 13-14,Plagla,1,1,6/12/2013,164.82,UMN_RAL,,
106857,6,2013,CRG515,CRG515,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013045,P045 13-14,Plagla,1,2,6/25/2013,168.16,UMN_RAL,,
106857,6,2013,CRG515,CRG515,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013045,P045 13-14,Plagla,1,1,6/25/2013,170.82,UMN_RAL,,
106851,6,2013,CRG44,CRG44,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013109,P045 13-14,Letvul,1,1,6/6/2013,174.42,UMN_RAL,,
4002,6,2005,RatRidgeA,RatRidge,,Columbia River Gorge NSA,,2000-2009,2005,R6_2005029,P071 05-06,Plagla,1,1,9/20/2005,175.1,UMN_RAL,,
4003,6,2006,RatRidgeB,RatRidge,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006570,P071 05-06,Plagla,1,1,9/22/2006,176,UMN_RAL,,
3500,6,2006,HermanCkC,HermanCk,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006583,P071 05-06,Plagla,1,1,9/29/2006,182.5,UMN_RAL,,
3369,6,2009,CRG58,CRG58,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009107,P084 09-10,Plagla,1,2,7/14/2009,189.432019,UMN_RAL,,
3369,6,2009,CRG58,CRG58,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009107,P084 09-10,Plagla,1,1,7/14/2009,190.7892381,UMN_RAL,,
108216,6,2015,PostCan,PostCan,,Columbia River Gorge NSA,,2010-2019,2015,R6_2015197,P102&127 15-16,Plagla,1,1,10/4/2015,194.33,UMN_RAL,,
106829,6,2013,CRG55,CRG55,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013115,P045 13-14,Plagla,2,1,6/11/2013,206.4,UMN_RAL,,
106829,6,2013,CRG55,CRG55,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013115,P045 13-14,Plagla,2,2,6/11/2013,207.11,UMN_RAL,,
3672,6,2006,LoopRdC,LoopRd,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006582,P071 05-06,Letvul,1,1,9/20/2006,208.9,UMN_RAL,,
4004,6,2006,RatRidgeC,RatRidge,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006574,P071 05-06,Plagla,1,1,5/2/2006,211.1,UMN_RAL,,
106844,6,2013,CRG45,CRG45,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013106,P045 13-14,Letvul,1,1,6/5/2013,214.82,UMN_RAL,,
3990,6,2005,PostCanA,PostCan,,Columbia River Gorge NSA,,2000-2009,2005,R6_2005166,P071 05-06,Plagla,1,1,9/27/2005,223.6,UMN_RAL,,
3377,6,2009,CRG62,CRG62,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009112,P084 09-10,Letvul,1,1,7/14/2009,224.9807134,UMN_RAL,,
106852,6,2013,CRG51,CRG51,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013105,P045 13-14,Letvul,1,1,6/5/2013,243.28,UMN_RAL,,
106827,6,2013,CRG507-N,CRG507,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013011,P045 13-14,Letvul,1,1,6/19/2013,243.72,UMN_RAL,,
106827,6,2013,CRG507-N,CRG507,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013011,P045 13-14,Letvul,1,2,6/19/2013,250.3,UMN_RAL,,
2812,6,2006,7MHPsmeC,7MHPsme,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006572,P071 05-06,Plagla,2,1,9/20/2006,267.8,UMN_RAL,,
4128,6,2006,TracyHillC,TracyHill,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006568,P071 05-06,Plagla,1,1,9/22/2006,270.8,UMN_RAL,,
4128,6,2006,TracyHillC,TracyHill,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006568,P071 05-06,Plagla,1,2,9/22/2006,280.1,UMN_RAL,,
2812,6,2006,7MHPsmeC,7MHPsme,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006572,P071 05-06,Plagla,2,2,9/20/2006,284.5,UMN_RAL,,
108212,6,2015,7MHPsme,7MHPsme,,Columbia River Gorge NSA,,2010-2019,2015,R6_2015191,P102&127 15-16,Plagla,1,1,9/26/2015,297.98,UMN_RAL,,
2804,6,2006,7MHPipoB,7MHPipo,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006565,P071 05-06,Plagla,1,1,5/2/2006,334,UMN_RAL,,
3025,6,2009,ARM167,ARM167,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009127,P084 09-10,Letvul,1,1,7/15/2009,342.3989533,UMN_RAL,,
106841,6,2013,CRG47,CRG47,,Columbia River Gorge NSA,,2010-2019,2013,R6_2013111,P045 13-14,Letvul,1,1,6/6/2013,366.25,UMN_RAL,,
2804,6,2006,7MHPipoB,7MHPipo,,Columbia River Gorge NSA,,2000-2009,2006,R6_2006565,P071 05-06,Plagla,1,2,5/2/2006,389.8,UMN_RAL,,
3025,6,2009,ARM167,ARM167,,Columbia River Gorge NSA,,2000-2009,2009,R6_2009129,P084 09-10,Letvul,1,1,7/15/2009,393.0708493,UMN_RAL,,
2803,6,2005,7MHPipoA,7MHPipo,,Columbia River Gorge NSA,,2000-2009,2005,R6_2005356,P071 05-06,Plagla,1,2,9/20/2005,659.5,UMN_RAL,,
2803,6,2005,7MHPipoA,7MHPipo,,Columbia River Gorge NSA,,2000-2009,2005,R6_2005356,P071 05-06,Plagla,1,1,9/20/2005,812.2,UMN_RAL,,
108226,14,2016,MMW_COLDLK,MMW_COLDLK,MissnM36,Flathead NF,Mission Mountains Wilderness,2010-2019,2016,R14_2015037,P077 16-17,Alesar,1,1,8/23/2016,115.21,UMN_RAL,,
108230,14,2016,MMW_GLACIER,MMW_GLACIER,MissnM33,Flathead NF,Mission Mountains Wilderness,2010-2019,2016,R14_2015043,P077 16-17,Letvul,1,1,8/25/2016,142.27,UMN_RAL,,
108227,14,2016,MMW_CRYSTAL_LKTH,MMW_CRYSTAL_LKTH,MissnM34,Flathead NF,Mission Mountains Wilderness,2010-2019,2016,R14_2015035,P077 16-17,Letvul,1,1,8/22/2016,144.76,UMN_RAL,,
108233,14,2015,30_SLVRTIP_2015,30_SLVRTIP,BobMar42,Flathead NF,Bob Marshall Wilderness,2010-2019,2015,R14_2015018,P077 16-17,Letvul,1,1,7/24/2015,208.21,UMN_RAL,,
3623,14,2008,Kali6,Kali6,,Flathead NF,,2000-2009,2008,R14_2008080,P004 08-09,Letvul,2,1,8/24/2008,215.62,UMN_RAL,,
3623,14,2008,Kali6,Kali6,,Flathead NF,,2000-2009,2008,R14_2008122,P004 08-09,Letvul,1,1,8/24/2008,234.3,UMN_RAL,,
108234,14,2015,30_MDWCRK_2015,30_MDWCRK,BobMar43,Flathead NF,Bob Marshall Wilderness,2010-2019,2015,R14_2015014,P077 16-17,Letvul,1,1,7/23/2015,258.42,UMN_RAL,,
104831,14,2011,30_SWANSAP_2011,30_SWANSAP,,Flathead NF,Bob Marshall Wilderness,2010-2019,2011,R14_2011109,,Letvul,1,1,8/30/2011,275.15,UMN_RAL,,
3619,14,2008,Kali2,Kali2,,Flathead NF,,2000-2009,2008,R14_2008086,P004 08-09,Plagla,1,1,8/23/2008,292.94,UMN_RAL,,
898,6,2007,70884 41 35,1032164,,Fremont-Winema NF,,2000-2009,2007,R6_2007099,P072 07-08,Letcol,1,1,6/23/2007,113.44,UMN_RAL,,
983,6,2007,52246 41 35,1042180,,Fremont-Winema NF,,2000-2009,2007,R6_2007090,P072 07-08,Letvul,1,1,6/24/2007,137.59,UMN_RAL,,
107916,6,2017,78094 41 35,1034148,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2017,R6_2017279,P064 17-18,Alesar,1,1,8/12/2017,139.094,UMN_RAL,,
862,6,2007,73715 41 35,1026168,,Fremont-Winema NF,,2000-2009,2007,R6_2007093,P072 07-08,Letvul,2,1,6/23/2007,142.66,UMN_RAL,,
862,6,2007,73715 41 35,1026168,,Fremont-Winema NF,,2000-2009,2007,R6_2007093,P072 07-08,Letvul,1,2,6/23/2007,148.96,UMN_RAL,,
829,6,2007,60606 41 35,1018148,,Fremont-Winema NF,Mountain Lakes Wilderness,2000-2009,2007,R6_2007101,P072 07-08,Letvul,1,1,6/22/2007,165.28,UMN_RAL,,
2449,6,2007,82269 41 35,2019146,,Fremont-Winema NF,,2000-2009,2007,R6_2007105,P072 07-08,Letvul,1,1,6/22/2007,176.28,UMN_RAL,,
853,6,2007,63335 41 35,1024172,,Fremont-Winema NF,,2000-2009,2007,R6_2007094,P072 07-08,Letvul,1,1,6/22/2007,179.92,UMN_RAL,,
853,6,2007,63335 41 35,1024172,,Fremont-Winema NF,,2000-2009,2007,R6_2007094,P072 07-08,Letvul,1,2,6/22/2007,184.57,UMN_RAL,,
853,6,2007,63335 41 35,1024172,,Fremont-Winema NF,,2000-2009,2007,R6_2007119,P072 07-08,Bryfre,1,1,6/22/2007,185.9,UMN_RAL,,
950,6,2010,79887 41 35,1038148,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2010,R6_2010020,P130  10-11,Letvul,2,2,7/22/2010,210.65,UMN_RAL,,
950,6,2010,79887 41 35,1038148,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2010,R6_2010020,P130  10-11,Letvul,2,1,7/22/2010,210.84,UMN_RAL,,
858,6,2010,85714 41 35,1026148,,Fremont-Winema NF,,2010-2019,2010,R6_2010005,P130  10-11,Letvul,1,1,7/29/2010,231.67,UMN_RAL,,
858,6,2010,85714 41 35,1026148,,Fremont-Winema NF,,2010-2019,2010,R6_2010005,P130  10-11,Letvul,1,2,7/29/2010,238.2,UMN_RAL,,
1104,6,2010,68457 41 35,1056160,,Fremont-Winema NF,Mount Thielsen Wilderness,2010-2019,2010,R6_2010033,P130  10-11,Letvul,1,1,7/20/2010,254.76,UMN_RAL,,
107906,6,2017,60606 41 35,1018148,,Fremont-Winema NF,Mountain Lakes Wilderness,2010-2019,2017,R6_2017283,P064 17-18,Letvul,1,1,8/14/2017,260.437,UMN_RAL,,
106887,6,2013,75967 41 35,1020148,,Fremont-Winema NF,Mountain Sky Wilderness,2010-2019,2013,R6_2013042,P045 13-14,Letvul,1,1,7/1/2013,262.84,UMN_RAL,,
872,6,2010,67025 41 35,1028152,,Fremont-Winema NF,,2010-2019,2010,R6_2010011,P130  10-11,Letvul,1,1,7/29/2010,271,UMN_RAL,,
106900,6,2013,94673 41 35,1026144,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2013,R6_2013031,P045 13-14,Letvul,1,1,7/4/2013,285.29,UMN_RAL,,
107909,6,2017,63335 41 35,1024172,,Fremont-Winema NF,,2010-2019,2017,R6_2017262,P064 17-18,Letvul,1,1,8/11/2017,299.797,UMN_RAL,,
1081,6,2010,75792 41 35,1054160,,Fremont-Winema NF,Mount Thielsen Wilderness,2010-2019,2010,R6_2010032,P130  10-11,Letvul,1,1,7/20/2010,307.36,UMN_RAL,,
1081,6,2010,75792 41 35,1054160,,Fremont-Winema NF,Mount Thielsen Wilderness,2010-2019,2010,R6_2010032,P130  10-11,Letvul,1,2,7/20/2010,309.09,UMN_RAL,,
106916,6,2013,84353 41 35,1036148,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2013,R6_2013039,P045 13-14,Plagla,1,2,7/5/2013,314.42,UMN_RAL,,
106916,6,2013,84353 41 35,1036148,,Fremont-Winema NF,Sky Lakes Wilderness,2010-2019,2013,R6_2013039,P045 13-14,Plagla,1,1,7/5/2013,319.78,UMN_RAL,,
855,6,2007,77881 41 35,1024176,,Fremont-Winema NF,,2000-2009,2007,R6_2007108,P072 07-08,Letvul,1,1,6/23/2007,342.21,UMN_RAL,,
912,6,2010,69709 41 35,1034152,,Fremont-Winema NF,,2010-2019,2010,R6_2010018,P130  10-11,Letvul,1,1,7/22/2010,353.62,UMN_RAL,,
